step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
70,baseline,5.24,0.42500000000000004,0.51,0.5111111111111111,0.41,0.0,5.60135868834805,1.1,23.0,0.0152,0.265,0.25,0.28,0.205
71,baseline,6.475,0.30000000000000004,0.525,0.5882352941176471,0.32,0.0,5.776086950678441,0.98,41.0,0.0135,0.225,0.265,0.34,0.17
72,baseline,5.86,0.365,0.49,0.5906976744186047,0.41,0.0,5.792869560542751,0.88,24.0,0.014650000000000002,0.24,0.215,0.33,0.215
73,baseline,5.945,0.345,0.605,0.5646551724137931,0.39,0.0,5.823295648434202,1.01,30.0,0.0143,0.255,0.255,0.275,0.215
74,baseline,5.19,0.43500000000000005,0.46,0.5485436893203883,0.41,0.0,5.696636518747363,0.93,18.0,0.01475,0.275,0.23,0.26,0.235
75,baseline,4.96,0.44999999999999996,0.54,0.5583756345177665,0.44,0.0,5.54930921499789,0.87,33.0,0.014549999999999999,0.255,0.27,0.26,0.215
76,baseline,6.595,0.29000000000000004,0.505,0.6283185840707964,0.34,0.0,5.758447371998312,0.84,23.0,0.0138,0.265,0.195,0.265,0.275
77,baseline,5.64,0.385,0.51,0.6029411764705882,0.46,0.0,5.73475789759865,0.81,19.0,0.0143,0.285,0.205,0.28,0.23
78,baseline,5.08,0.43999999999999995,0.52,0.5925925925925926,0.43,0.0,5.60380631807892,0.77,28.0,0.014849999999999999,0.285,0.225,0.27,0.22
79,baseline,5.895,0.355,0.555,0.5733333333333334,0.39,0.0,5.662045054463136,0.96,15.0,0.014499999999999999,0.255,0.27,0.295,0.18
80,baseline,5.795,0.37,0.505,0.5779816513761468,0.41,0.0,5.688636043570509,0.92,22.0,0.014250000000000002,0.275,0.22,0.275,0.23
81,baseline,6.23,0.31999999999999995,0.57,0.6210045662100456,0.38,0.0,5.796908834856408,0.83,26.0,0.0136,0.235,0.27,0.25,0.245
