step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
47,supply_adjusted,6.445,0.29500000000000004,0.605,0.6211453744493393,0.28,0.5548000000000002,6.111265847117757,0.86,12.0,0.014849999999999999,0.345,0.18,0.21,0.265
48,supply_adjusted,6.415,0.29500000000000004,0.635,0.6077586206896551,0.3,0.4955,6.172012677694206,0.91,13.0,0.014050000000000002,0.27,0.225,0.185,0.32
49,supply_adjusted,6.22,0.31499999999999995,0.63,0.5956521739130435,0.38,0.4629411764705882,6.181610142155365,0.93,18.0,0.015149999999999999,0.285,0.225,0.215,0.275
50,supply_adjusted,6.12,0.32999999999999996,0.58,0.6536585365853659,0.36,0.5447619047619047,6.169288113724292,0.71,27.0,0.014,0.29,0.21,0.21,0.29
51,supply_adjusted,6.615,0.28500000000000003,0.535,0.6941747572815534,0.32,0.4775,6.258430490979433,0.63,14.0,0.01385,0.335,0.215,0.195,0.255
52,supply_adjusted,5.785,0.365,0.565,0.6684210526315789,0.45,0.4853333333333334,6.1637443927835465,0.63,11.0,0.01345,0.325,0.18,0.23,0.265
53,supply_adjusted,5.63,0.38,0.57,0.6888888888888889,0.45,0.45349999999999996,6.056995514226839,0.56,10.0,0.013200000000000002,0.29,0.19,0.235,0.285
54,supply_adjusted,5.55,0.385,0.6,0.7151162790697675,0.47,0.49777777777777776,5.955596411381471,0.49,8.0,0.013300000000000001,0.26,0.27,0.25,0.22
55,supply_adjusted,5.61,0.38,0.59,0.7167630057803468,0.44,0.5035714285714286,5.8864771291051765,0.49,8.0,0.01395,0.2,0.245,0.255,0.3
56,supply_adjusted,5.455,0.395,0.595,0.6685082872928176,0.44,0.5605,5.800181703284142,0.6,8.0,0.013250000000000001,0.3,0.195,0.24,0.265
57,supply_adjusted,5.76,0.36,0.64,0.6701570680628273,0.4,0.455625,5.792145362627314,0.63,7.0,0.015500000000000003,0.24,0.21,0.275,0.275
