step,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
67,5.15,0.43000000000000005,0.55,0.5302325581395348,0.41,5.710685776469381,1.01,21.0,0.01545,0.315,0.285,0.22,0.18
68,5.075,0.43500000000000005,0.575,0.49344978165938863,0.35,5.583548621175505,1.16,25.0,0.0166,0.27,0.27,0.26,0.2
69,5.665,0.385,0.485,0.5642201834862385,0.42,5.599838896940405,0.95,31.0,0.01305,0.315,0.215,0.275,0.195
70,5.605,0.39,0.495,0.6559139784946236,0.4,5.600871117552324,0.64,27.0,0.01335,0.31,0.22,0.23,0.24
71,5.05,0.44499999999999995,0.5,0.6379310344827587,0.47,5.490696894041858,0.63,17.0,0.01365,0.285,0.28,0.235,0.2
72,5.625,0.39,0.475,0.5980392156862745,0.42,5.517557515233488,0.82,16.0,0.015050000000000001,0.285,0.175,0.33,0.21
73,6.185,0.33499999999999996,0.465,0.5859030837004405,0.39,5.65104601218679,0.94,10.0,0.013049999999999999,0.285,0.235,0.29,0.19
74,5.765,0.37,0.535,0.5887850467289719,0.37,5.6738368097494325,0.88,24.0,0.014100000000000001,0.3,0.225,0.27,0.205
75,5.785,0.37,0.515,0.5887850467289719,0.41,5.6960694477995455,0.88,20.0,0.013850000000000001,0.305,0.205,0.23,0.26
76,6.075,0.33999999999999997,0.525,0.5546218487394958,0.38,5.771855558239638,1.06,25.0,0.01475,0.285,0.23,0.305,0.18
77,6.16,0.33499999999999996,0.49,0.5341365461847389,0.34,5.84948444659171,1.16,15.0,0.01505,0.255,0.21,0.35,0.185
78,5.37,0.41500000000000004,0.48,0.5294117647058824,0.43,5.7535875572733675,1.04,34.0,0.014450000000000001,0.305,0.225,0.23,0.24
79,6.005,0.35,0.495,0.5579399141630901,0.39,5.8038700458186945,1.03,29.0,0.0139,0.275,0.19,0.28,0.255
80,5.895,0.365,0.455,0.5521739130434783,0.37,5.822096036654955,1.03,28.0,0.0138,0.31,0.205,0.28,0.205
81,5.69,0.38,0.51,0.6048780487804878,0.35,5.795676829323965,0.81,28.0,0.014549999999999999,0.33,0.195,0.275,0.2
82,6.045,0.35,0.455,0.6435643564356436,0.41,5.845541463459173,0.72,24.0,0.013150000000000002,0.325,0.225,0.285,0.165
83,6.415,0.30500000000000005,0.535,0.6205357142857143,0.34,5.959433170767338,0.85,8.0,0.014199999999999997,0.265,0.215,0.265,0.255
84,5.72,0.375,0.53,0.5952380952380952,0.4,5.911546536613871,0.85,16.0,0.014249999999999999,0.29,0.23,0.255,0.225
85,6.28,0.32999999999999996,0.42,0.6118721461187214,0.37,5.985237229291097,0.85,18.0,0.01375,0.345,0.18,0.25,0.225
86,5.705,0.375,0.545,0.5868544600938967,0.39,5.929189783432878,0.88,24.0,0.014950000000000003,0.305,0.245,0.25,0.2
87,4.905,0.46499999999999997,0.445,0.5602094240837696,0.45,5.724351826746303,0.84,22.0,0.014199999999999999,0.305,0.205,0.285,0.205
88,5.935,0.355,0.515,0.602803738317757,0.36,5.766481461397043,0.85,24.0,0.01375,0.27,0.215,0.275,0.24
89,6.135,0.32999999999999996,0.565,0.6203703703703703,0.33,5.840185169117635,0.82,14.0,0.0144,0.265,0.265,0.24,0.23
90,5.59,0.39,0.51,0.5520361990950227,0.4,5.790148135294107,0.99,16.0,0.0143,0.29,0.235,0.28,0.195
91,5.96,0.35,0.54,0.6046511627906976,0.41,5.824118508235286,0.85,16.0,0.014350000000000002,0.295,0.2,0.245,0.26
