step,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
48,5.73,0.375,0.52,0.6038647342995169,0.44,5.852111844177182,0.82,26.0,0.013750000000000002,0.28,0.19,0.27,0.26
49,5.655,0.385,0.495,0.5668202764976958,0.41,5.812689475341747,0.94,26.0,0.0149,0.27,0.245,0.28,0.205
50,5.655,0.39,0.445,0.5545454545454546,0.35,5.781151580273397,0.98,22.0,0.014949999999999998,0.325,0.205,0.27,0.2
51,6.35,0.31999999999999995,0.45,0.6044444444444445,0.38,5.894921264218718,0.89,29.0,0.014199999999999999,0.275,0.185,0.28,0.26
52,5.11,0.43999999999999995,0.49,0.6054054054054054,0.47,5.737937011374974,0.73,28.0,0.014449999999999998,0.32,0.215,0.235,0.23
53,5.31,0.41500000000000004,0.54,0.6428571428571429,0.48,5.6523496090999785,0.65,26.0,0.01355,0.28,0.21,0.27,0.24
54,6.5,0.30000000000000004,0.5,0.6306306306306306,0.38,5.821879687279984,0.82,15.0,0.01345,0.275,0.17,0.24,0.315
55,5.445,0.405,0.505,0.5586854460093896,0.4,5.7465037498239875,0.94,13.0,0.014050000000000002,0.29,0.225,0.25,0.235
56,5.63,0.39,0.47,0.5570776255707762,0.39,5.723202999859191,0.97,22.0,0.014800000000000002,0.32,0.15,0.285,0.245
57,6.31,0.31000000000000005,0.59,0.6272727272727273,0.32,5.840562399887352,0.82,31.0,0.014,0.33,0.23,0.215,0.225
58,5.97,0.355,0.48,0.581081081081081,0.38,5.866449919909883,0.93,20.0,0.013500000000000002,0.265,0.2,0.29,0.245
59,6.12,0.33499999999999996,0.53,0.5564853556485355,0.35,5.917159935927905,1.06,16.0,0.015050000000000001,0.295,0.195,0.255,0.255
60,5.705,0.38,0.495,0.5740740740740741,0.38,5.874727948742325,0.92,33.0,0.014450000000000001,0.275,0.24,0.24,0.245
61,5.84,0.365,0.51,0.6047619047619047,0.37,5.8677823589938605,0.83,26.0,0.015300000000000001,0.265,0.21,0.315,0.21
62,5.435,0.405,0.515,0.569377990430622,0.38,5.781225887195088,0.9,18.0,0.014649999999999998,0.265,0.225,0.27,0.24
63,5.585,0.395,0.465,0.5654205607476636,0.4,5.7419807097560716,0.93,26.0,0.0148,0.305,0.185,0.255,0.255
64,5.56,0.395,0.49,0.5576036866359447,0.45,5.705584567804856,0.96,26.0,0.014450000000000001,0.235,0.205,0.26,0.3
65,5.985,0.35,0.515,0.5603448275862069,0.37,5.7614676542438845,1.02,25.0,0.0142,0.225,0.27,0.265,0.24
66,5.75,0.375,0.5,0.5555555555555556,0.34,5.75917412339511,1.0,27.0,0.014750000000000001,0.27,0.235,0.255,0.24
67,6.63,0.28500000000000003,0.52,0.5813008130081301,0.29,5.933339298716087,1.03,20.0,0.013550000000000001,0.245,0.215,0.27,0.27
68,5.425,0.4,0.575,0.5825242718446602,0.42,5.831671438972869,0.86,24.0,0.013850000000000003,0.205,0.29,0.26,0.245
69,5.745,0.375,0.505,0.6157635467980296,0.43,5.814337151178297,0.78,22.0,0.015550000000000001,0.28,0.215,0.27,0.235
70,5.505,0.395,0.545,0.5902439024390244,0.42,5.752469720942637,0.84,25.0,0.015199999999999998,0.28,0.23,0.26,0.23
71,5.43,0.405,0.52,0.5483870967741935,0.4,5.687975776754111,0.98,26.0,0.014400000000000003,0.205,0.245,0.27,0.28
72,6.59,0.29000000000000004,0.51,0.5916666666666667,0.35,5.868380621403289,0.98,17.0,0.014550000000000002,0.24,0.2,0.325,0.235
73,6.11,0.33499999999999996,0.54,0.6186046511627907,0.39,5.916704497122631,0.82,28.0,0.0141,0.23,0.28,0.265,0.225
74,5.95,0.35,0.55,0.5803571428571429,0.32,5.923363597698105,0.94,15.0,0.0138,0.27,0.225,0.27,0.235
75,6.425,0.30500000000000005,0.525,0.5791666666666667,0.38,6.023690878158484,1.01,18.0,0.0147,0.255,0.2,0.34,0.205
76,6.135,0.33999999999999997,0.465,0.559322033898305,0.34,6.045952702526788,1.04,22.0,0.013949999999999999,0.325,0.185,0.27,0.22
77,6.475,0.30000000000000004,0.525,0.5833333333333334,0.36,6.13176216202143,1.0,29.0,0.013600000000000001,0.305,0.23,0.24,0.225
78,6.56,0.29500000000000004,0.49,0.5850622406639004,0.28,6.217409729617145,1.0,21.0,0.015050000000000004,0.285,0.235,0.255,0.225
79,5.545,0.4,0.455,0.5429864253393665,0.41,6.082927783693716,1.01,26.0,0.013550000000000001,0.255,0.265,0.29,0.19
80,6.245,0.32499999999999996,0.505,0.6192660550458715,0.41,6.115342226954974,0.83,21.0,0.0132,0.23,0.215,0.325,0.23
81,6.66,0.28,0.54,0.6792452830188679,0.31,6.224273781563978,0.68,18.0,0.01405,0.3,0.21,0.28,0.21
82,6.215,0.32499999999999996,0.535,0.6367924528301887,0.34,6.222419025251184,0.77,14.0,0.0155,0.245,0.215,0.285,0.255
83,5.77,0.365,0.58,0.5934579439252337,0.42,6.131935220200947,0.87,10.0,0.01465,0.28,0.27,0.22,0.23
84,6.16,0.33499999999999996,0.49,0.5782608695652174,0.36,6.137548176160758,0.97,23.0,0.014499999999999999,0.26,0.225,0.29,0.225
85,5.625,0.38,0.575,0.5560538116591929,0.39,6.035038540928606,0.99,23.0,0.0157,0.3,0.19,0.26,0.25
86,6.095,0.33499999999999996,0.555,0.6073059360730594,0.35,6.047030832742885,0.86,28.0,0.0144,0.23,0.18,0.305,0.285
87,5.595,0.385,0.555,0.5442477876106194,0.36,5.956624666194309,1.03,23.0,0.015000000000000001,0.275,0.24,0.245,0.24
88,5.7,0.375,0.55,0.5555555555555556,0.43,5.905299732955447,1.0,23.0,0.013500000000000002,0.24,0.22,0.305,0.235
89,5.07,0.44499999999999995,0.48,0.6,0.45,5.738239786364359,0.74,33.0,0.01395,0.29,0.205,0.28,0.225
90,5.58,0.395,0.47,0.6368421052631579,0.43,5.706591829091485,0.69,25.0,0.01355,0.26,0.225,0.265,0.25
91,5.965,0.355,0.485,0.6142857142857143,0.36,5.758273463273189,0.81,15.0,0.0147,0.26,0.23,0.27,0.24
92,5.595,0.385,0.555,0.5590909090909091,0.43,5.725618770618552,0.97,18.0,0.01485,0.275,0.195,0.27,0.26
93,5.45,0.4,0.55,0.5286343612334802,0.39,5.670495016494841,1.07,20.0,0.014349999999999998,0.25,0.21,0.26,0.28
94,5.93,0.36,0.47,0.6095238095238096,0.39,5.7223960131958735,0.82,28.0,0.0142,0.31,0.205,0.28,0.205
95,6.065,0.345,0.485,0.6150234741784038,0.36,5.790916810556698,0.82,34.0,0.013800000000000003,0.285,0.16,0.315,0.24
96,5.925,0.355,0.525,0.589041095890411,0.4,5.81773344844536,0.9,17.0,0.01365,0.265,0.235,0.29,0.21
97,6.235,0.32999999999999996,0.465,0.6175115207373272,0.37,5.901186758756288,0.83,16.0,0.013850000000000001,0.335,0.18,0.25,0.235
98,5.77,0.37,0.53,0.5727272727272728,0.42,5.8749494070050305,0.94,19.0,0.013900000000000003,0.25,0.23,0.28,0.24
99,6.52,0.29500000000000004,0.53,0.6025641025641025,0.35,6.003959525604025,0.93,22.0,0.0129,0.22,0.16,0.3,0.32
100,5.725,0.375,0.525,0.5411255411255411,0.39,5.948167620483219,1.06,21.0,0.014099999999999998,0.26,0.19,0.275,0.275
101,5.96,0.35,0.54,0.5701754385964912,0.36,5.950534096386576,0.98,27.0,0.013400000000000004,0.31,0.235,0.265,0.19
102,5.895,0.355,0.555,0.589041095890411,0.37,5.939427277109262,0.9,26.0,0.014599999999999998,0.295,0.245,0.225,0.235
103,5.52,0.395,0.53,0.5931372549019608,0.4,5.855541821687409,0.83,27.0,0.014700000000000001,0.255,0.225,0.315,0.205
104,6.01,0.345,0.54,0.5598290598290598,0.38,5.886433457349929,1.03,20.0,0.0146,0.26,0.245,0.27,0.225
105,6.305,0.31499999999999995,0.545,0.53515625,0.38,5.970146765879942,1.19,22.0,0.014350000000000002,0.265,0.25,0.24,0.245
106,5.435,0.405,0.515,0.5242290748898678,0.36,5.863117412703954,1.08,32.0,0.015600000000000003,0.29,0.225,0.235,0.25
107,5.035,0.43999999999999995,0.565,0.5656565656565656,0.43,5.697493930163164,0.86,37.0,0.014649999999999998,0.275,0.225,0.23,0.27
108,5.61,0.39,0.49,0.5674418604651162,0.37,5.679995144130531,0.93,29.0,0.0146,0.275,0.195,0.3,0.23
109,6.86,0.265,0.49,0.630901287553648,0.36,5.9159961153044245,0.86,18.0,0.012900000000000002,0.235,0.205,0.295,0.265
110,5.495,0.395,0.555,0.5902439024390244,0.42,5.831796892243541,0.84,22.0,0.01435,0.265,0.24,0.26,0.235
111,5.6,0.39,0.5,0.6039603960396039,0.37,5.785437513794833,0.8,24.0,0.0145,0.235,0.24,0.3,0.225
112,4.885,0.45999999999999996,0.515,0.6,0.48,5.605350011035866,0.72,21.0,0.01465,0.245,0.215,0.3,0.24
113,5.845,0.355,0.605,0.6354679802955665,0.4,5.653280008828693,0.74,20.0,0.014099999999999998,0.245,0.235,0.285,0.235
114,5.325,0.405,0.625,0.5833333333333334,0.42,5.587624007062955,0.85,10.0,0.014549999999999999,0.215,0.28,0.275,0.23
115,5.76,0.37,0.54,0.5675675675675675,0.41,5.622099205650363,0.96,20.0,0.0143,0.275,0.215,0.305,0.205
116,5.465,0.4,0.535,0.5581395348837209,0.41,5.590679364520291,0.95,19.0,0.01415,0.31,0.165,0.29,0.235
117,5.895,0.355,0.555,0.583710407239819,0.35,5.651543491616234,0.92,33.0,0.015150000000000002,0.25,0.275,0.23,0.245
118,5.575,0.39,0.525,0.5520361990950227,0.39,5.636234793292987,0.99,22.0,0.01445,0.21,0.24,0.315,0.235
119,6.205,0.32999999999999996,0.495,0.6536585365853659,0.37,5.749987834634389,0.71,31.0,0.014599999999999998,0.28,0.28,0.22,0.22
120,5.43,0.405,0.52,0.5534883720930233,0.37,5.685990267707512,0.96,15.0,0.0158,0.26,0.275,0.265,0.2
121,5.915,0.355,0.535,0.5512820512820513,0.38,5.73179221416601,1.05,18.0,0.013450000000000004,0.255,0.23,0.33,0.185
122,5.465,0.4,0.535,0.5454545454545454,0.39,5.678433771332808,1.0,29.0,0.013800000000000003,0.275,0.225,0.29,0.21
123,6.08,0.33999999999999997,0.52,0.584070796460177,0.34,5.758747017066246,0.94,26.0,0.014099999999999998,0.305,0.235,0.27,0.19
124,6.51,0.29500000000000004,0.54,0.5899581589958159,0.38,5.908997613652998,0.98,29.0,0.014,0.26,0.21,0.295,0.235
125,5.54,0.385,0.61,0.5,0.35,5.835198090922399,1.23,19.0,0.01525,0.26,0.23,0.265,0.245
126,5.915,0.355,0.535,0.583710407239819,0.35,5.851158472737919,0.92,36.0,0.014400000000000001,0.25,0.235,0.295,0.22
127,6.145,0.32999999999999996,0.555,0.6118721461187214,0.36,5.909926778190336,0.85,28.0,0.013949999999999999,0.245,0.255,0.265,0.235
128,5.84,0.36,0.56,0.5844748858447488,0.36,5.895941422552268,0.91,18.0,0.01465,0.24,0.24,0.285,0.235
129,6.2,0.32499999999999996,0.55,0.5625,0.37,5.956753138041815,1.05,18.0,0.0143,0.265,0.29,0.24,0.205
130,6.17,0.33499999999999996,0.48,0.5732758620689655,0.42,5.999402510433452,0.99,18.0,0.013650000000000002,0.24,0.205,0.32,0.235
131,5.535,0.39,0.565,0.5700934579439252,0.41,5.906522008346762,0.92,37.0,0.015450000000000002,0.245,0.25,0.28,0.225
132,5.36,0.41000000000000003,0.54,0.5514018691588785,0.44,5.7972176066774095,0.96,23.0,0.013950000000000002,0.235,0.24,0.29,0.235
133,6.165,0.32999999999999996,0.535,0.5955555555555555,0.4,5.870774085341928,0.91,24.0,0.014350000000000003,0.29,0.235,0.255,0.22
134,5.91,0.355,0.54,0.5443037974683544,0.34,5.878619268273542,1.08,23.0,0.014350000000000002,0.25,0.23,0.305,0.215
135,6.015,0.345,0.535,0.5504201680672269,0.35,5.9058954146188345,1.07,26.0,0.014499999999999999,0.285,0.245,0.27,0.2
136,5.96,0.35,0.54,0.5098039215686274,0.38,5.916716331695068,1.25,25.0,0.0149,0.285,0.26,0.235,0.22
137,5.845,0.37,0.455,0.525,0.33,5.902373065356054,1.14,29.0,0.014550000000000002,0.295,0.23,0.275,0.2
138,5.855,0.365,0.495,0.5291666666666667,0.39,5.892898452284844,1.13,41.0,0.013500000000000002,0.245,0.23,0.285,0.24
139,6.385,0.31000000000000005,0.515,0.575,0.34,5.991318761827875,1.02,26.0,0.013750000000000004,0.245,0.21,0.275,0.27
140,5.625,0.39,0.475,0.5545454545454546,0.44,5.9180550094623,0.98,29.0,0.014000000000000002,0.24,0.215,0.36,0.185
141,5.755,0.375,0.495,0.5387931034482759,0.42,5.88544400756984,1.07,33.0,0.014249999999999999,0.32,0.23,0.225,0.225
142,5.585,0.39,0.515,0.5674418604651162,0.39,5.825355206055873,0.93,28.0,0.014800000000000002,0.275,0.235,0.285,0.205
143,5.305,0.42000000000000004,0.495,0.6203208556149733,0.46,5.721284164844699,0.71,40.0,0.013000000000000005,0.27,0.24,0.285,0.205
